epoch,step,loss
0,1,2.0248357076505616
0,2,2.0030701266061235
0,3,2.0522513599845404
0,4,2.105703513486535
0,5,2.0272341654946984
0,6,2.036235706012961
0,7,2.135424888114873
0,8,2.102793505181414
0,9,2.0482618897932046
0,10,2.1054606931420468
0,11,2.0609762138401666
0,12,2.0658342483276306
0,13,2.1053020221750245
0,14,2.0006918063088293
0,15,2.0122990813731945
0,16,2.071635122198357
0,17,2.049315804287429
0,18,2.1148788476750107
0,19,2.051983559311759
0,20,2.0240148237019766
0,21,2.164212181128646
0,22,2.0750321216405605
0,23,2.0842260506163552
0,24,2.0033331119069993
0,25,2.040327181828856
0,26,2.065393343895889
0,27,1.9940004583110313
0,28,2.0615228889406665
0,29,2.00346688051965
0,30,2.0093402454317344
0,31,1.9840266701945168
0,32,2.096771975468776
0,33,1.9934877244203453
0,34,1.9313398841378802
0,35,2.0155731354024766
0,36,1.9038794947324869
0,37,1.9661911354207526
0,38,1.8490328797151618
0,39,1.8724049084608065
0,40,1.9410664458750588
0,41,1.9612430794689775
0,42,1.9267407029530577
0,43,1.907060008639229
0,44,1.89332822154559
0,45,1.8309136930926768
0,46,1.8662547778137548
0,47,1.877598961088664
0,48,1.9528637855545354
0,49,1.9175644535948388
0,50,1.81360273096943
0,51,1.920311771003426
0,52,1.888164417746411
0,53,1.8778084344126869
0,54,1.9473570702196534
0,55,1.9742735273691987
0,56,1.9760099733987708
0,57,1.894912460051636
0,58,1.9294708269476755
0,59,1.9701029536288024
0,60,2.0113895898730942
0,61,1.948099738287843
0,62,1.9725008007395994
0,63,1.936374311017949
0,64,1.9418710588444015
0,65,2.0522812116047593
0,66,2.089324000237323
0,67,2.027553630272321
0,68,2.090661636956261
0,69,2.0674931363662425
0,70,2.0255879887085637
0,71,2.0837684401472996
0,72,2.149798732335886
0,73,2.077575484429418
0,74,2.1632758448535565
0,75,1.9588835543766754
0,76,2.1348951228962347
0,77,2.1011443206150573
0,78,2.0838664558644067
0,79,2.1044423733642357
0,80,2.0005156884539326
0,81,2.0879522302704627
0,82,2.1148446096600964
0,83,2.167967757905053
0,84,2.0643036724619472
0,85,2.0450352106641687
0,86,2.0547608590831223
0,87,2.1192098156725154
0,88,2.0827344784912025
0,89,2.0320037091008243
0,90,2.0757654573014563
0,91,2.0460657259915775
0,92,2.0803420857615795
0,93,1.9871863367161573
0,94,1.9960623350208178
0,95,1.982872134888728
